Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,100n,,,,Capacitor_SMD:C_0805_2012Metric,~
C2,1,100n,,,,Capacitor_SMD:C_0805_2012Metric,~
C10,1,100n,,,,Capacitor_SMD:C_0805_2012Metric,~
C16,1,100n,,,,Capacitor_SMD:C_0805_2012Metric,~
C3,1,20p,,,,Capacitor_SMD:C_0805_2012Metric,~
C4,1,20p,,,,Capacitor_SMD:C_0805_2012Metric,~
C5,1,1u,,,,Capacitor_SMD:C_0805_2012Metric,~
C6,1,1u,,,,Capacitor_SMD:C_0805_2012Metric,~
C7,1,1u,,,,Capacitor_SMD:C_0805_2012Metric,~
C8,1,1u,,,,Capacitor_SMD:C_0805_2012Metric,~
C9,1,1u,,,,Capacitor_SMD:C_0805_2012Metric,~
C11,1,680uF,,,,Capacitor_SMD:C_0805_2012Metric,~
C12,1,220uF,,,,Capacitor_SMD:C_0805_2012Metric,~
C13,1,10uF,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,
C14,1,10uF,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,
C15,1,100uF,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,
C17,1,10p,,,,Capacitor_SMD:C_0805_2012Metric,~
C19,1,100p,,,,Capacitor_SMD:C_0805_2012Metric,~
D2,1,LED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,~
D3,1,SM6T24A,,,,Diode_SMD:D_SMB,https://www.st.com/resource/en/datasheet/sm6t.pdf
D4,1,D,,,,Diode_SMD:D_0201_0603Metric_Pad0.64x0.40mm_HandSolder,~
D5,1,D,,,,Diode_SMD:D_0201_0603Metric_Pad0.64x0.40mm_HandSolder,~
D6,1,D,,,,Diode_SMD:D_0201_0603Metric_Pad0.64x0.40mm_HandSolder,~
FB1,1,FerriteBead,,,,Ferrite_THT:LairdTech_28C0236-0JW-10,~
FINALCARRERA1,1,SW_SPDT,,,,Button_Switch_THT:SW_XKB_DM1-16UC-1,~
FINALCARRERA2,1,SW_SPDT,,,,Button_Switch_THT:SW_XKB_DM1-16UC-1,~
J1,1,Conn_01x05_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,~
J2,1,DE9_Pins,,,,Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,~
J3,1,DE9_Pins,,,,Connector_Dsub:DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset9.40mm,~
J4,1,Conn_01x02_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
JP1,1,Jumper_3_Bridged12,,Excluded from BOM,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
K2,1,Fujitsu_FTR-LYAA005x,,,,Relay_THT:Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical,https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf
K3,1,Fujitsu_FTR-LYAA005x,,,,Relay_THT:Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical,https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf
K4,1,Fujitsu_FTR-LYAA005x,,,,Relay_THT:Relay_SPST-NO_Fujitsu_FTR-LYAA005x_FormA_Vertical,https://www.fujitsu.com/sg/imagesgig5/ftr-ly.pdf
